lemma,freq,per_million
εφαρμόζω,8073,1213.8
οργανισμός,8072,1213.65
συναλλαγή,7939,1193.65
ακόλουθος,7763,1167.19
κίνδυνος,7704,1158.32
υποχρέωση,7675,1153.96
μέτρο,7641,1148.85
κοινοβούλιο,7616,1145.09
χρησιμοποιώ,7589,1141.03
απόφαση,7552,1135.47
τεχνικός,7487,1125.69
σκοπός,7425,1116.37
οικονομικός,7248,1089.76
διαπραγμάτευση,7169,1077.88
υπόψη,7011,1054.13
βάση,6973,1048.41
δραστηριότητα,6969,1047.81
[,6874,1033.53
τιμή,6869,1032.78
ίδιος,6863,1031.87
προϊόν,6835,1027.66
μεταξύ,6817,1024.96
υπηρεσία,6704,1007.97
παράγραφο,6611,993.98
ώς,6565,987.07
επενδύσεων,6527,981.35
λειτουργία,6521,980.45
εκτός,6520,980.3
εταιρεία,6514,979.4
σύστημα,6488,975.49
προβλέπω,6408,963.46
κεφάλαιο,6344,953.84
τίτλος,6334,952.34
συμφωνία,6291,945.87
υποβάλλω,6270,942.71
ένωση,6177,928.73
υπό,6013,904.07
συμμόρφωση,5933,892.05
διάταξη,5914,889.19
περίοδος,5829,876.41
ζημία,5806,872.95
μόνο,5712,858.82
λογιστικός,5697,856.56
τύπος,5697,856.56
εθνικός,5674,853.1
σ.,5668,852.2
ανοίγμα,5644,848.59
],5563,836.41
παρών,5548,834.16
συνολικός,5498,826.64
γραμμή,5411,813.56
περιουσιακός,5396,811.31
συγκεκριμένος,5392,810.7
χώρα,5349,804.24
εξουσιοδότηση,5338,802.58
εντός,5263,791.31
καθορίζω,5262,791.16
α,5253,789.8
χρήση,5245,788.6
διαχείριση,5166,776.72
καθώς,5142,773.12
τομέας,5106,767.7
εφόσον,4987,749.81
προϋπόθεση,4978,748.46
πλαίσιο,4921,739.89
δεδομένο,4917,739.29
ασφάλεια,4917,739.29
β,4897,736.28
επί,4867,731.77
δικαίωμα,4864,731.32
παροχή,4826,725.6
κεφαλαίου,4802,722.0
συναλλαγών,4786,719.59
εποπτεία,4781,718.84
προκειμένου,4741,712.82
σύμβαση,4652,699.44
σημαντικός,4631,696.29
ισχύω,4536,682.0
ανοιγμάτων,4524,680.2
επίσης,4523,680.05
έτος,4445,668.32
δπχα,4423,665.01
ανοίγματος,4418,664.26
επίπεδο,4330,651.03
θεωρώ,4320,649.53
απαιτώ,4242,637.8
σχέση,4238,637.2
εκδότης,4222,634.79
αντισυμβαλλόμενος,4218,634.19
τμήμα,4214,633.59
υπολογισμός,4180,628.48
μέσω,4138,622.16
μετά,4123,619.91
διασφαλίζω,4119,619.3
κανόνας,4112,618.25
δείκτης,4060,610.43
όρος,4058,610.13
συμπεριλαμβανόμενος,3945,593.14
έγκριση,3883,583.82
ώστε,3882,583.67
τιτλοποίηση,3877,582.92
αριθμός,3819,574.2
προστασία,3797,570.89
αποτέλεσμα,3749,563.67
λογαριασμός,3737,561.87
ειδικός,3724,559.92
κατ’,3714,558.41
τροποποίηση,3684,553.9
εσωτερικός,3684,553.9
κωδικός,3652,549.09
βασικός,3623,544.73
στήλη,3622,544.58
έκθεση,3606,542.17
v.μέρος,3601,541.42
κατασκευαστής,3583,538.72
όριο,3580,538.26
πράξη,3579,538.11
πελάτης,3579,538.11
πρόσωπο,3562,535.56
όπου,3531,530.9
τρόπος,3525,529.99
ιδίος,3494,525.33
πρότυπο,3483,523.68
διάρκεια,3475,522.48
έναντι,3472,522.03
επιτρέπω,3465,520.97
εύλογος,3450,518.72
αποτελώ,3447,518.27
χωρίς,3447,518.27
νομικός,3438,516.91
παραρτήμα,3416,513.61
πιστοληπτικός,3406,512.1
υπάρχω,3384,508.79
διοικητικός,3377,507.74
κεφαλαίο,3372,506.99
πριν,3354,504.28
πεδίο,3348,503.38
εποπτικός,3335,501.43
μέλους,3314,498.27
ομάδα,3314,498.27
υποβολή,3310,497.67
εξασφαλίζω,3308,497.37
εκτελεστικός,3290,494.66
δάνειο,3285,493.91
εξυγίανση,3274,492.26
διακανονισμός,3269,491.5
τουλάχιστο,3249,488.5
είδος,3245,487.9
κριτήριο,3243,487.6
είτε,3240,487.14
ικανότητα,3216,483.54
εδάφιο,3201,481.28
παρούσας,3168,476.32
άδεια,3165,475.87
γ,3136,471.51
ημέρα,3094,465.19
μέσος,3091,464.74
ισολογισμός,3084,463.69
ομίλου,3062,460.38
τόπος,3058,459.78
προσδιορίζω,3057,459.63
ρύθμιση,3052,458.88
αθέτηση,3051,458.73
ανά,2990,449.56
υπόδειγμα,2980,448.05
εγώ,2970,446.55
καλύπτω,2953,443.99
συντελεστής,2947,443.09
σχέδιο,2942,442.34
εξής,2932,440.84
πραγματοποιώ,2932,440.84
αρχικός,2930,440.53
εκτίμηση,2921,439.18
υπόκεινται,2921,439.18
μετοχή,2918,438.73
ανταλλαγή,2906,436.93
χρηματοδότηση,2903,436.48
παραγράφου,2897,435.57
ποιότητα,2879,432.87
μετοχών,2878,432.72
ορισμένος,2874,432.11
προκύπτω,2854,429.11
αντιστάθμιση,2852,428.81
προσέγγιση,2849,428.36
υπολογίζω,2844,427.6
συνθήκη,2838,426.7
ρευστότητα,2838,426.7
συστήματος,2833,425.95
υποκείμενος,2832,425.8
στοιχείου,2816,423.39
νέος,2799,420.84
ιδρύματος,2797,420.54
έγγραφο,2795,420.24
δυνάμει,2790,419.49
προσαρμογή,2787,419.03
έλεγχος,2764,415.58
κοινός,2754,414.07
διαθέσιμος,2742,412.27
κινητός,2737,411.52
γενικός,2737,411.52
δλπ,2731,410.61
φορέας,2721,409.11
αίτηση,2707,407.01
ιδίως,2705,406.71
εμπορικός,2705,406.71
επενδυτικός,2681,403.1
κατάλληλος,2667,400.99
κατ',2667,400.99
τυχόν,2666,400.84
δημόσιος,2663,400.39
μήνας,2651,398.59
συμμετοχή,2642,397.23
δοκιμή,2641,397.08
έκδοση,2620,393.93
αναγκαίος,2611,392.57
μορφή,2607,391.97
εκδίδω,2601,391.07
προτύπων,2583,388.36
ευρώ,2553,383.85
τράπεζα,2550,383.4
πρόσβαση,2525,379.64
επιχειρηματικός,2520,378.89
μέσα,2497,375.43
σχετίζω,2476,372.27
τίτλων,2468,371.07
πληρώ,2457,369.42
μεταβολή,2456,369.27
ορισμός,2426,364.76
αναγνώριση,2415,363.1
τροποποιώ,2409,362.2
εξασφάλιση,2405,361.6
ιδρυμάτων,2401,361.0
κοινοποίηση,2401,361.0
δυνατός,2375,357.09
θυγατρικός,2371,356.49
ενημερωτικός,2367,355.89
αποτίμηση,2349,353.18
αρνητικός,2345,352.58
αντισυμβαλλομένου,2325,349.57
ποσοστό,2316,348.22
αντίστοιχος,2314,347.92
διαθέτω,2311,347.47
επενδυτής,2276,342.2
εκτέλεση,2271,341.45
κεφαλαιακός,2265,340.55
παράγωγα,2246,337.69
οεε,2246,337.69
κατάσταση,2241,336.94
κόστος,2225,334.54
πρόγραμμα,2218,333.48
χρεωστικός,2217,333.33
παραγώγων,2185,328.52
πίνακας,2185,328.52
πληροί,2184,328.37
υποχρεώσεων,2179,327.62
κινδύνων,2168,325.97
ρυθμιστικός,2166,325.66
κείμενο,2156,324.16
αναγνωρίζω,2147,322.81
εοχ,2140,321.76
χαρτοφυλακίου,2108,316.94
δυνατότητα,2100,315.74
εκκαθάριση,2094,314.84
χρονικός,2082,313.04
λειτουργικός,2078,312.43
πολύς,2076,312.13
ενημερώνω,2068,310.93
δεκεμβρίου,2058,309.43
στ,2058,309.43
μείωση,2049,308.07
άνοιγμα,2049,308.07
μητρικός,2046,307.62
ονομαστικός,2030,305.22
βασίζω,2026,304.62
ελέγχου,2024,304.31
προσδιορισμός,2018,303.41
αλλά,2014,302.81
όχημα,2013,302.66
μεγάλος,1997,300.26
χρηματοδοτικός,1995,299.95
σύνολο,1991,299.35
τραπεζικός,1974,296.8
πολιτική,1940,291.69
περιγραφή,1932,290.48
νομοθεσία,1923,289.13
μέθοδος,1915,287.93
υπερβαίνω,1905,286.42
μονάδα,1905,286.42
στάθμιση,1904,286.27
εκείνος,1892,284.47
διαχειριστής,1887,283.72
αντικαθίσταται,1863,280.11
κατ,1861,279.81
τρίτος,1860,279.66
στόχος,1858,279.36
κοινοποιημένος,1849,278.0
1.,1848,277.85
πώληση,1847,277.7
νόμισμα,1844,277.25
φορολογικός,1839,276.5
άσκηση,1835,275.9
εκτ,1832,275.45
συνδέω,1831,275.3
διαφορετικός,1829,275.0
συμμορφώνω,1822,273.94
επιπέδου,1805,271.39
δ,1805,271.39
πληρωμή,1802,270.94
οσεκα,1791,269.28
τεχνολογικός,1791,269.28
γίνομαι,1776,267.03
αντισυμβαλλομένος,1774,266.73
ταμειακός,1770,266.13
βαθμός,1768,265.82
έναρξη,1759,264.47
2015/61,1757,264.17
μηχανισμός,1752,263.42
παράγωγο,1745,262.37
γεγονός,1743,262.07
λήξη,1740,261.61
ετήσιος,1740,261.61
ζητώ,1738,261.31
τέλος,1737,261.16
παρουσιάζω,1731,260.26
αποτελεσματικός,1728,259.81
περιέχω,1725,259.36
διάθεση,1716,258.01
οποιοσδήποτε,1706,256.5
οντοτήτος,1706,256.5
βλέπε,1704,256.2
τέτοιος,1703,256.05
προηγούμενος,1695,254.85
διαφορά,1691,254.25
συμβατικός,1680,252.59
μεταφορά,1674,251.69
ανοίγματα,1674,251.69
εντολή,1669,250.94
κανονιστικός,1663,250.04
σταθμισμένος,1662,249.89
επηρεάζω,1656,248.98
υποδείγμα,1652,248.38
εθνκτ,1649,247.93
δημοσίευση,1645,247.33
1),1642,246.88
c,1634,245.68
πραγματικός,1621,243.72
θεσπίζω,1620,243.57
αποτελεσμάτων,1618,243.27
αντιμετωπίζω,1612,242.37
καθαρός,1594,239.66
ασφαλιστικός,1592,239.36
πρόσθετος,1591,239.21
σύσταση,1582,237.86
δήλωση,1581,237.71
επένδυση,1579,237.41
αρχείο,1578,237.26
εακαα,1578,237.26
ενέργεια,1573,236.51
βαθμίδα,1570,236.05
καταθέσεις,1563,235.0
αλλαγή,1561,234.7
χρόνος,1559,234.4
ασκώ,1556,233.95
οχήμα,1554,233.65
απαραίτητος,1552,233.35
επίσημος,1549,232.9
όχι,1542,231.84
εκτ/,1540,231.54
προσφορά,1536,230.94
φυσικός,1526,229.44
τόκος,1526,229.44
αντιστοιχώ,1521,228.69
μεταβατικός,1521,228.69
συνεργασία,1514,227.63
άμεσα,1510,227.03
εξουσία,1504,226.13
καταγωγή,1504,226.13
δημοσιεύω,1498,225.23
παρακολούθηση,1493,224.48
εντολών,1490,224.03
μελλοντικός,1479,222.37
εξέταση,1477,222.07
παραγράφος,1475,221.77
κατάλογος,1471,221.17
καταρτίζω,1466,220.42
αρχίζω,1464,220.12
όργανο,1453,218.46
πρόκειται,1443,216.96
κάλυψη,1439,216.36
άμεσος,1437,216.06
%,1434,215.61
άθροισμα,1433,215.46
κατανομή,1432,215.31
τούτος,1431,215.16
τελευταίος,1431,215.16
/,1431,215.16
νομοθετικός,1429,214.85
ωστόσο,1427,214.55
απομείωση,1426,214.4
αντικείμενο,1424,214.1
εξοπλισμός,1424,214.1
ισοδύναμος,1413,212.45
καθορισμός,1412,212.3
δελτίο,1410,212.0
εξαίρεση,1407,211.55
κύριος,1405,211.25
καθεστώς,1398,210.19
επιφύλαξη,1397,210.04
αναγνωριστικός,1393,209.44
έννοια,1383,207.94
ανάλογα,1380,207.49
κατόπιν,1374,206.59
περιορισμός,1369,205.83
φύση,1367,205.53
ανάλυση,1366,205.38
κέρδη,1364,205.08
έρευνα,1363,204.93
δηλαδή,1357,204.03
πληρούνται,1357,204.03
εατ,1357,204.03
irb,1349,202.83
επιπλέον,1348,202.68
καταστάση,1348,202.68
κινδύνους,1347,202.53
απαιτούνται,1346,202.38
περί,1344,202.07
αποδεκτός,1343,201.92
ιουνίου,1339,201.32
οικείος,1338,201.17
μόχλευση,1332,200.27
συμμετοχών,1324,199.07
νοείται,1319,198.32
μη,1315,197.71
επιτοκίου,1313,197.41
σειρά,1308,196.66
εμπίπτω,1305,196.21
ενδέχεται,1295,194.71
ισχύος,1288,193.65
εγγύηση,1286,193.35
ανάπτυξη,1282,192.75
πλήρως,1281,192.6
εισαγωγή,1267,190.5
λήψη,1266,190.35
επαρκής,1264,190.05
πέδηση,1262,189.75
κατέχω,1259,189.29
συμψηφισμός,1258,189.14
επιβάλλω,1257,188.99
ηλεκτρονικός,1256,188.84
μετοχικός,1253,188.39
λοιπός,1252,188.24
ενοποιημένος,1251,188.09
προσωπικός,1247,187.49
έως,1245,187.19
αξιολογώ,1241,186.59
αντιμετώπιση,1241,186.59
κύρωση,1225,184.18
ήδη,1224,184.03
υπόκειται,1223,183.88
επίπτωση,1221,183.58
ανάγκη,1221,183.58
ευθύνη,1221,183.58
καθηκόντων,1215,182.68
μετατροπή,1214,182.53
περιγράφω,1214,182.53
επιλογή,1212,182.23
τελικός,1212,182.23
κατασκευαστικός,1212,182.23
χαρτοφυλάκιο,1210,181.93
προθεσμία,1210,181.93
εξασφαλισμένος,1209,181.78
επομένως,1207,181.48
πιστοποιητικό,1206,181.33
κρατικός,1201,180.57
εφαρμόζεται,1201,180.57
ιανουάριος,1196,179.82
πράξεων,1183,177.87
συνέπεια,1178,177.12
παράγραφοι,1178,177.12
της,1177,176.97
δίκαιο,1172,176.21
υπόλοιπος,1171,176.06
ούτε,1171,176.06
διάστημα,1170,175.91
θέτω,1166,175.31
στιγμή,1165,175.16
αναλαμβάνω,1165,175.16
πράξεις,1162,174.71
διατηρώ,1155,173.66
γνώμη,1154,173.51
δομή,1149,172.76
οφείλω,1146,172.3
διεθνής,1145,172.15
θετικός,1145,172.15
επενδύσεις,1144,172.0
ιουλίου,1142,171.7
ρυθμιζόμενη,1141,171.55
προβαίνω,1140,171.4
καθήκον,1137,170.95
πίεση,1133,170.35
διενεργώ,1129,169.75
π.χ.,1127,169.45
επαγγελματικός,1125,169.15
προληπτικός,1124,169.0
ζώνη,1120,168.4
εξωτερικός,1119,168.25
έσοδο,1115,167.64
συμπληρώνω,1111,167.04
ακόμα,1110,166.89
ενιαίος,1104,165.99
ποσών,1099,165.24
υπεύθυνος,1094,164.49
προαίρεση,1091,164.04
εργασία,1089,163.73
συνεπώς,1086,163.28
χαρακτήρας,1080,162.38
τηρώ,1080,162.38
καταγραφή,1076,161.78
ληκτότητα,1076,161.78
περαιτέρω,1075,161.63
εύλογης,1074,161.48
εκτελώ,1071,161.03
νοεμβρίου,1067,160.43
γνωστοποίηση,1060,159.37
ε,1060,159.37
προβλεπόμενος,1055,158.62
προσώπων,1051,158.02
εξετάζω,1050,157.87
πλήρης,1050,157.87
συλλογικός,1048,157.57
εισροή,1043,156.82
μέτρηση,1042,156.67
εξασφαλίσεις,1035,155.62
δελτίου,1033,155.31
συνδεδεμένος,1032,155.16
ομόλογα,1031,155.01
συμφερόντων,1029,154.71
επιτόκιο,1029,154.71
ανήκω,1028,154.56
κυβέρνηση,1028,154.56
μέγιστος,1025,154.11
περιθώριο,1025,154.11
ενότητα,1024,153.96
ελάχιστος,1021,153.51
κοινοποιώ,1021,153.51
διαβάθμιση,1019,153.21
όνομα,1018,153.06
χορήγηση,1018,153.06
δυνητικός,1017,152.91
συμπληρωματικός,1015,152.61
ευρωσυστήματος,1015,152.61
πόσον,1012,152.16
κατάργηση,1006,151.26
υποδείγματα,1006,151.26
κατευθυντήριος,1005,151.1
κεφαλαίων,1002,150.65
συμμετέχω,1001,150.5
μεμονωμένος,995,149.6
αμέσως,992,149.15
συμμετέχων,992,149.15
αποφασίζω,987,148.4
στήλα,981,147.5
…,981,147.5
όγκος,981,147.5
καλυμμένος,981,147.5
των,979,147.2
βρίσκω,979,147.2
τόσο,978,147.05
οχημάτων,977,146.9
επενδυτών,973,146.29
συνταξιοδοτικός,973,146.29
εφημερίδα,972,146.14
εγκρίνω,972,146.14
2.,971,145.99
διασφάλιση,970,145.84
δεσμευτικός,967,145.39
οφειλέτη,965,145.09
του,964,144.94
σώμα,958,144.04
διαφάνεια,957,143.89
μμε,956,143.74
εγγυήσεις,953,143.29
συνδυασμός,951,142.99
υποδοχή,950,142.84
πλην,950,142.84
απόκτηση,949,142.69
εξασφαλίσεων,943,141.78
τον,939,141.18
φορά,937,140.88
εξωχρηματιστηριακός,936,140.73
διάφορος,935,140.58
αμοιβαίος,932,140.13
χαρακτηριστικό,930,139.83
προσωρινός,927,139.38
τίτλου,926,139.23
εμπορευμάτων,924,138.93
γνωστοποιώ,924,138.93
iii,921,138.48
κανένας,919,138.17
ενωσιακός,919,138.17
απόδοση,917,137.87
επαναγορά,916,137.72
παραγωγή,913,137.27
κοινό,912,137.12
ύψος,912,137.12
παρόμοιος,911,136.97
στατιστικός,907,136.37
αναμενόμενος,905,136.07
πλέον,904,135.92
πλαισίου,904,135.92
επικοινωνία,904,135.92
διαβούλευση,904,135.92
ενεργώ,903,135.77
επιλέξιμος,902,135.62
περιορίζω,901,135.47
καταθέσεων,901,135.47
εκπομπή,901,135.47
πρόεδρος,900,135.32
συμφέρον,900,135.32
επιβολή,899,135.17
ζημιών,896,134.72
παράδειγμα,895,134.57
τραπεζών,895,134.57
εγκατεστημένος,895,134.57
δηλώνω,894,134.42
εργάσιμος,890,133.81
διεύθυνση,887,133.36
έξοδο,884,132.91
θεματοφύλακας,884,132.91
παράδοση,883,132.76
σημασία,883,132.76
μεθοδολογία,881,132.46
ουσία,881,132.46
κεφαλαιο,880,132.31
επιμέρος,878,132.01
συνιστώ,878,132.01
πρακτικός,875,131.56
κλίμακα,875,131.56
πάροχος,875,131.56
=,874,131.41
χωριστά,873,131.26
συμπεριλαμβάνω,872,131.11
ενίσχυση,871,130.96
εκπλήρωση,870,130.81
συμβόλαιο,867,130.36
παρόντα,866,130.21
δεσμεύσεις,858,129.0
καθυστέρηση,854,128.4
άρθρος,853,128.25
προορίζω,853,128.25
λεπτομέρεια,852,128.1
διενέργεια,848,127.5
οποιοδήποτε,847,127.35
προβλέψεις,846,127.2
δανειακός,845,127.05
θέμα,843,126.75
ελεγκτής,836,125.7
σύγκρουση,834,125.39
ρυθμιζόμενος,833,125.24
πληροφόρηση,829,124.64
ιι,827,124.34
καταχώριση,827,124.34
παρέκκλιση,827,124.34
εξυπηρετούμενος,826,124.19
μεταβίβαση,823,123.74
απριλίου,822,123.59
δύναμαι,822,123.59
μέχρι,821,123.44
σχεδιασμός,821,123.44
πιθανός,819,123.14
εκτιμώντας,818,122.99
απαιτήσεις,815,122.54
απαιτούμενος,814,122.39
νομισματικός,813,122.24
πολύ,812,122.09
δικαίου,812,122.09
λεπτομερής,809,121.64
υποχρεωτικός,808,121.49
χρηματικός,808,121.49
κοινωνικός,806,121.18
χορηγώ,805,121.03
προτεραιότητα,802,120.58
cet1,802,120.58
πιστοποιητικός,799,120.13
εγκατάσταση,799,120.13
πελατών,796,119.68
ανεξάρτητος,795,119.53
λιανικός,795,119.53
εκκαθαριστικός,793,119.23
όμιλος,792,119.08
ισχύς,791,118.93
προθεσμιακός,791,118.93
μαρτίου,790,118.78
ληκτότητας,790,118.78
ανωτέρω,789,118.63
παρόντας,787,118.33
χρέος,787,118.33
δημιουργώ,786,118.18
μειώνω,786,118.18
δράση,784,117.88
διαβιβάζω,784,117.88
ταμείο,784,117.88
σταθερός,780,117.28
κατατάσσω,776,116.67
φράση,774,116.37
μέγεθος,772,116.07
ενοποίηση,771,115.92
εταιρικός,769,115.62
κατωτέρω,769,115.62
πιο,768,115.47
ροών,768,115.47
συναλλαγματικός,767,115.32
ισχύων,764,114.87
ασφάλιση,764,114.87
επιτυγχάνω,763,114.72
κυκλοφορία,762,114.57
σήμανση,761,114.42
αύξηση,758,113.97
τεκμηρίωση,758,113.97
ατομικός,756,113.67
ι,756,113.67
εξέλιξη,754,113.37
διέπω,753,113.22
τήρηση,752,113.07
ένδειξη,752,113.07
ταξινόμηση,752,113.07
επανεξέταση,751,112.92
δημοσιοποίηση,749,112.61
διατήρηση,749,112.61
ρευστός,747,112.31
φάκελος,747,112.31
τακτικός,746,112.16
το,744,111.86
σταθερότητα,744,111.86
ελέγχω,741,111.41
εναλλακτικός,741,111.41
οδηγώ,739,111.11
χρήστης,738,110.96
μικρός,737,110.81
λειτουργώ,734,110.36
κατάρτιση,733,110.21
πόρος,733,110.21
συχνότητα,731,109.91
παράγοντας,731,109.91
τοπικός,731,109.91
γλώσσα,730,109.76
υποδομή,730,109.76
τυποποιημένος,728,109.46
θέσπιση,727,109.31
περιουσία,727,109.31
αποθέματος,727,109.31
εξακολουθώ,726,109.16
ειδικά,725,109.01
ανεξάρτητα,723,108.71
πρόταση,722,108.55
διευκόλυνση,722,108.55
κατάλληλη,721,108.4
αποκλειστικά,721,108.4
πιθανότητα,720,108.25
καθαρά,719,108.1
ελεγκτικός,719,108.1
ονομασία,717,107.8
χρηματοοικονομικά,715,107.5
καταβάλλω,714,107.35
ροά,714,107.35
καθορισμένος,711,106.9
τράπεζας,710,106.75
αντασφαλιστικός,706,106.15
περιθωρίου,705,106.0
3.,704,105.85
πελατής,704,105.85
καθίσταμαι,703,105.7
χρειάζομαι,703,105.7
συνεχής,703,105.7
απαλλαγή,702,105.55
εξόφληση,702,105.55
υφιστάμενος,701,105.4
κατασκευή,701,105.4
ηλεκτρικός,697,104.8
υψηλής,697,104.8
υγεία,696,104.65
χωριστός,695,104.5
αφαίρεση,695,104.5
μαΐου,691,103.89
πηγή,690,103.74
συμπλήρωση,688,103.44
μεταχείριση,686,103.14
παθητικός,685,102.99
στρατηγική,684,102.84
εγγραφή,684,102.84
οκτώβριος,682,102.54
ενώ,682,102.54
διαχειρίζω,682,102.54
χαρακτηριστικός,682,102.54
ημερών,681,102.39
λογιστική,680,102.24
δημιουργία,679,102.09
γραφείο,677,101.79
κείμενος,676,101.64
περιόδους,676,101.64
νόμιμος,675,101.49
τιτλοποιήσεις,673,101.19
εφαρμοστέος,672,101.04
διεξάγω,671,100.89
σαφής,670,100.74
οργάνος,669,100.59
αίτημα,669,100.59
στάδιο,666,100.14
καταβολή,665,99.98
ρευστής,664,99.83
αργότερο,663,99.68
νόμος,662,99.53
συναλλάγματος,662,99.53
κινητών,660,99.23
συμφωνώ,659,99.08
δανεισμός,659,99.08
ανάκαμψη,659,99.08
ενοποιημένη,658,98.93
δαπάνη,656,98.63
κατοικία,654,98.33
ζ,654,98.33
αντίκτυπος,654,98.33
χειρισμός,653,98.18
συντονισμός,652,98.03
διαβίβαση,651,97.88
ακίνητο,651,97.88
αξιών,650,97.73
κερδών,648,97.43
κοινότητα,644,96.83
ημερολογιακός,644,96.83
βρυξέλλες,642,96.53
φερεγγυότητα,642,96.53
μηχανικός,642,96.53
την,641,96.38
κάποιος,639,96.08
αναστολή,638,95.93
ανώτατο,636,95.62
bad,636,95.62
χαμηλός,635,95.47
άνω,635,95.47
ανάληψη,632,95.02
μέγιστη,632,95.02
προνομιακός,632,95.02
ανάθεση,631,94.87
ταξινομούνται,631,94.87
ενδιαφέρον,630,94.72
ανοχή,630,94.72
συγκέντρωση,628,94.42
σεπτεμβρίου,627,94.27
ποσότητα,627,94.27
επιμετρώνται,623,93.67
παρακολουθώ,622,93.52
μεταβλητότητα,619,93.07
στήριξη,618,92.92
κέρδος,617,92.77
άποψη,616,92.62
τιτλοποιημένος,616,92.62
δικαιώματος,615,92.47
διευκολύνσεις,615,92.47
αξιογράφων,614,92.32
εκφράζω,613,92.17
άρθρα,612,92.02
επωνυμία,611,91.87
συνεισφορά,609,91.57
επιτοκίων,609,91.57
εκροή,609,91.57
προμήθεια,607,91.26
ενδεχόμενος,607,91.26
σχτ,607,91.26
δανείου,606,91.11
εναρμονισμένος,606,91.11
κλινικός,605,90.96
απαιτήσεων,604,90.81
αγοραστής,604,90.81
παραπομπή,603,90.66
υποχρεώσεις,603,90.66
καταστατικός,602,90.51
μεταβιβάζων,602,90.51
μοντέλο,601,90.36
eur,600,90.21
συναφής,599,90.06
δέσμευση,599,90.06
εναπομένων,598,89.91
αποθεματικός,598,89.91
συνοδεύω,596,89.61
συμπεριλαμβανομένου,595,89.46
συστημικός,595,89.46
αφού,593,89.16
ακίνητος,593,89.16
παρόχος,592,89.01
συνέχεια,591,88.86
επεξεργασία,590,88.71
διορθωτικός,589,88.56
ακαθάριστος,589,88.56
απαριθμούνται,588,88.41
ενδιαφερόμενος,586,88.11
πρώτος,585,87.96
δικαιοδοσία,583,87.66
ανταλλάσσω,582,87.51
επιμέτρηση,582,87.51
εναρμόνιση,581,87.36
προκαταβολή,581,87.36
ακεραιότητα,580,87.2
ουσιώδεις,580,87.2
προσάρτημα,580,87.2
υποδείγματος,579,87.05
αποτελεσματικότητα,578,86.9
περιπτώση,578,86.9
2009/65/εκ,577,86.75
αναμένω,575,86.45
ποιος,574,86.3
αποδίδω,574,86.3
σκόπιμος,573,86.15
περιφερειακός,573,86.15
συσκευή,573,86.15
επαρκώς,571,85.85
παραμένω,571,85.85
προδιαγραφή,571,85.85
δύνανται,571,85.85
ιστορικός,570,85.7
lgd,570,85.7
συνάπτω,565,84.95
δικός,565,84.95
επάρκεια,565,84.95
περιεχόμενο,563,84.65
εκθέσεων,563,84.65
καταλληλότητα,563,84.65
παράβαση,562,84.5
διανομή,561,84.35
αγορών,561,84.35
φόρος,560,84.2
αρμοδιότητα,560,84.2
προστίθω,559,84.05
σοβαρός,559,84.05
ολόκληρος,558,83.9
